temp_max
32.2
33.9
33.3
33.3
32.8
29.4
27.2
30
28.9
21.1
22.2
26.1
25.6
27.8
26.1
26.1
27.8
33.3
35
26.7
23.9
23.9
26.1
22.8
21.1
22.2
23.3
27.8
32.2
34.4
34.4
